Word,Definition
Acorn ,The fruit of an oak tree. A thin-walled nut that sits in a cup of modified leaves.
Alternate leaf arrangement ,One leaf is attached per node on the stem.
Angiosperm ,A plant that makes flowers and fruit.
Annual ,A non-woody plant that completes its life cycle in one year or growing season.
Anther ,"The enlarged, pollen-forming portion of a stamen, borne at the tip of the filament."
Arboretum ,"An institution that collects, grows, studies, and exhibits trees."
Asymmetric ,Having parts that are not divisible into identical or mirror-image halves.
Awl-like leaf ,"Narrow, triangular, flat, sharp-pointed, and usually less than 1/2 inch long."
Axil ,The upper angle between the stem and the leaf or leaf stalk (petiole).
Bark ,Outer layers of tissue covering the wood.
Basal ,"Found near the base of a plant, often at ground level, such as leaves clustered near or spreading from the stem at ground level."
Berry ,"A fleshy, many-seeded fruit."
Bipinnate ,Compound leaf form in which the primary leaflets are again divided into secondary leaflets.
Blade ,The expanded photosynthetic portion of a leaf.
Bract ,"A small, modified leaflike structure associated with reproductive parts, such as inflorescences or flowers."
Branchlets ,"Small, leaf-bearing branches or twigs, usually on the most recent growth."
Bud ,"An immature shoot, often covered with protective scale leaves that will develop into a branch, flower, or inflorescence, found in the axil of a leaf and/or the terminal tip of a shoot."
Calyx ,"The collective term for all the sepals of a flower: the outermost whorl of flower parts, typically green."
Capsule ,"A dry, often many-seeded fruit that splits apart at maturity (dehiscent)."
Carpel ,"The basic female structure of flowering plants, in which the ovules are borne. A number of carpels can be fused to form a pistil."
Catkin ,"A spikelike, often pendent cluster of flowers that are all the same sex."
Character ,"A feature or attribute of a plant, or a funny person."
Columnar ,In the form of a column.
Compound leaf ,A leaf whose blade is divided into distinct leaflets.
Cone ,The reproductive structure of conifers (and other nonflowering plants).
Conifer ,"A cone-bearing tree, such as a pine or juniper."
Corolla ,The collective term for all the petals of a flower: the whorl of flower parts just inside the calyx.
Crown ,"The top of a tree, including the upper trunk and branches."
Cultivar ,A cultivated variety of a plant.
Deciduous ,"Said of plant structures that fall off naturally at the end of a growing period, e.g., leaves that fall seasonally or plants that are seasonally leafless."
Dehiscent ,Splitting open at maturity.
Dioecious ,Refers to species in which male and female reproductive structures are produced on separate individuals.
Disturbed area ,A weedy waste area that has been ecologically disrupted or destroyed by human activities or natural processes such as fire.
Doubly serrate ,Said of a leaf margin whose serrations bear smaller teeth on their margins (small teeth on larger teeth).
Drupe ,"A fleshy fruit with one or more seeds encased in a hard pit, for example a cherry or peach."
Endangered species ,A species whose survival is in immediate jeopardy.
Endemic species ,A species that occurs only in a defined area.
Entire ,"Said of a leaf whose margins are continuous and smooth, toothless."
Even pinnate leaf ,A pinnate leaf with a pair of leaflets at the tip.
Evergreen ,"A plant that has leaves that remain attached, i.e., do not fall off all at once."
Family ,"A taxonomic rank. In order, the ranks are domain, kingdom, phylum, class, order, family, genus, and species. Family names end in “-aceae.”"
Fascicle ,A bunch or tuft of small leaves all arising from the same place.
Filament ,"The threadlike, stalk portion of a stamen, atop which sits the anther."
Flower ,"The reproductive part of a plant, consisting of some combination of the sepals, petals, stamens, and carpels."
Follicle ,A dry fruit that splits open on only one side.
Fruit ,The ripened ovary that protects the seeds and aids in their dispersal.
Fused ,Refers to structures that are united.
Genus (plural: genera) ,A group of related species; the taxonomic category that ranks above “species” and below “family.”
Glabrous ,Without hairs or glands.
Gland ,"A small, often spheric body on or embedded in the epidermis or at the tip of a hair that exudes a substance, generally sticky."
Glandular ,Having glands.
Glaucous ,Covered with a whitish or bluish film that is waxy or powdery.
Grafting ,"A horticultural technique by which a bud of one plant (parent) is bonded to a rooted plant (root stock), thereby creating a clone of the parent."
Gymnosperm ,"A plant that makes woody or fleshy cones, not flowers, with seeds not borne inside a fruit."
Hair ,A threadlike outgrowth of the outermost layer of cells.
Hardy ,Tolerant of cold growing conditions.
Hermaphroditic ,Refers to a plant or flower that has both stamens and carpels in the same flower.
Hybrid ,"A plant resulting from a cross between two species, subspecies, or cultivars. Hybrids occur naturally or can be deliberately bred. They are indicated with an _ symbol in the scientific name."
Inflorescence ,A cluster of flowers along with any associated structures.
Introduced species ,A non-native that is purposely imported to grow in a certain region.
Invasive ,Refers to noxious weeds that outcompete and displace native species.
Keel ,"A centrally located ridge on the long axis of a structure, usually on the lower side, like the keel of a boat."
Leaf ,"A photosynthetic organ arising from a stem, usually with a stalk and a blade."
Leaf arrangement ,"The number of leaves attached at each node on the stem. Described as either alternate (1 per node), opposite (2 per node), or whorled (3 or more per node)."
Leaf form ,"Refers to the blade of the leaf, e.g., simple, compound, or pinnate."
Leaflet ,"A smaller, leaflike unit of a compound leaf."
Legume ,"A flattish, beanlike pod, usually made by members of the bean or pea family (Fabaceae), splitting longitudinally along two lines."
Linear ,"Long and narrow, with nearly parallel sides. Usually a linear leaf is six times longer than it is wide."
Lobe ,An expansion or bulge on the margin of a structure such as a leaf or petal.
Margin ,The edge of a leaf or other organ.
Mediterranean climate ,"A climate characterized by cool, wet winters and warm, dry summers."
Membranous ,"Thin, pliable, and often more or less translucent."
Midvein ,The vein in the center of a leaf.
Monoecious ,Refers to plants with unisexual male and female flowers that are separate but on the same plant.
Native ,An indigenous plant: one that occurs naturally in an area.
Naturalized ,"Said of a non-native, weedy plant that reproduces on its own without the help of humans."
Needle-like leaf ,"A narrowly linear, usually evergreen leaf."
