Common Name,Scientific Name,Number of Species
Acacias,Acacia spp.,13
Alders,Alnus spp.,3
Araucarias,Araucaria spp.,5
Ashes,Fraxinus spp.,7
Bald Cypresses,Taxodium spp.,2
Birches,Betula spp.,2
Bottlebrushes Paperbarks and Melaleucas,Callistemon and Melaleuca spp.,8
Bottle Trees,Brachychiton spp.,4
Catalpas,Catalpa spp.,2
Cedars,Cedrus spp.,3
Chestnuts and Buckeyes,Aesculus spp.,3
Citrus,Citrus spp.,2
Coral Trees,Erythrina spp.,7
Crape Myrtles,Lagerstroemia spp.,2
Dogwoods,Cornus spp.,3
Douglas Firs,Pseudotsuga spp.,2
Elms,Ulmus spp.,4
Eucalypts,Eucalyptus and Corymbia and Angophora spp.,18
Figs,Ficus spp.,6
Flowering Cherries and Plums,Prunus spp.,8
Flowering Pears,Pyrus spp.,2
Golden Rain Trees,Koelreuteria spp.,3
Hackberries,Celtis spp.,4
Hawthorns,Crataegus spp.,3
Linden Trees,Tilia spp.,5
Magnolias,Magnolia spp.,2
Maples,Acer spp.,12
Oaks,Quercus spp.,10
Orchid Trees,Bauhinia spp.,3
Palms,Arecaceae,22
Pines,Pinus spp.,10
Pittosporums,Pittosporum spp.,7
Redbuds,Cercis spp.,2
Sycamores,Platanus spp.,2
Trumpet Trees,Handroanthus spp.,2
Walnuts,Juglans spp.,3
