Scientific Name,Common Name,SelecTree Link
Acacia baileyana,Bailey Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=16
Acacia cultriformis,Knife Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=21
Acacia cyclops,Red-Eyed Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=22
Acacia dealbata,Silver Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=23
Acacia decurrens,Green Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=24
Acacia longifolia,Sydney Golden Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=27
Acacia mearnsii,Black Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=1512
Acacia melanoxylon,Blackwood Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=28
Acacia pendula,Weeping Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=29
Acacia retinodes,Everblooming Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=32
Acacia saligna,Golden Wreath Wattle,http://selectree.calpoly.edu/treedetail.lasso?rid=34
Acacia stenophylla,Shoestring Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=1513
Acacia verticillata,Star Acacia,http://selectree.calpoly.edu/treedetail.lasso?rid=36
Acer buergerianum,Trident Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=39
Acer campestre,Hedge Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=40
Acer macrophyllum,Big Leaf Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=58
Acer negundo,Box Elder,http://selectree.calpoly.edu/treedetail.lasso?rid=60
Acer oblongum,Smooth Leaf Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=65
Acer palmatum,Japanese Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=66
Acer paxii,Evergreen Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=77
Acer platanoides,Norway Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=78
Acer pseudoplatanus,Sycamore Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=98
Acer rubrum,Red Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=100
Acer saccharinum,Silver Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=111
Acer saccharum,Sugar Maple,http://selectree.calpoly.edu/treedetail.lasso?rid=116
Aesculus californica,California Buckeye,http://selectree.calpoly.edu/treedetail.lasso?rid=132
Aesculus hippocastanum,Common Horsechestnut,http://selectree.calpoly.edu/treedetail.lasso?rid=138
Aesculus x carnea,Red Horse Chestnut,http://selectree.calpoly.edu/treedetail.lasso?rid=133
Afrocarpus falcatus,Fern Pine,http://selectree.calpoly.edu/treedetail.lasso?rid=1114
Agonis flexuosa,Willow Peppermint,http://selectree.calpoly.edu/treedetail.lasso?rid=143
Ailanthus altissima,Tree of Heaven,http://selectree.calpoly.edu/treedetail.lasso?rid=145
Albizia julibrissin,Silk Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=147
Alnus cordata,Italian Alder,http://selectree.calpoly.edu/treedetail.lasso?rid=150
Alnus rhombifolia,White Alder,http://selectree.calpoly.edu/treedetail.lasso?rid=154
Alnus rubra,Red Alder,http://selectree.calpoly.edu/treedetail.lasso?rid=153
Aloe barberae,Tree Aloe,http://selectree.calpoly.edu/treedetail.lasso?rid=1507
Angophora costata,Rose Gum,http://selectree.calpoly.edu/treedetail.lasso?rid=165
Araucaria araucana,Monkey Puzzle Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=170
Araucaria bidwillii,Bunya Bunya,http://selectree.calpoly.edu/treedetail.lasso?rid=171
Araucaria columnaris,Cook Pine,http://selectree.calpoly.edu/treedetail.lasso?rid=1492
Araucaria cunninghamii,Hoop Pine,http://selectree.calpoly.edu/treedetail.lasso?rid=172
Araucaria heterophylla,Norfolk Island Pine,http://selectree.calpoly.edu/treedetail.lasso?rid=173
Arbutus 'Marina',Strawberry Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=174
Archontophoenix cunninghamiana,King Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=179
Bauhinia forficata,Brazilian Butterfly Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=191
Bauhinia variegata,Purple Orchid Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=194
Bauhinia x blakeana,Hong Kong Orchid Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=190
Betula nigra,River Birch,http://selectree.calpoly.edu/treedetail.lasso?rid=200
Betula pendula,White Birch,http://selectree.calpoly.edu/treedetail.lasso?rid=204
Brachychiton acerifolius,Illawarra Flame Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=213
Brachychiton discolor,Lacebark,http://selectree.calpoly.edu/treedetail.lasso?rid=1510
Brachychiton populneus,Kurrajong,http://selectree.calpoly.edu/treedetail.lasso?rid=214
Brachychiton rupestris,Queensland Bottle Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=1511
Brahea armata,Mexican Blue Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=215
Brahea edulis,Guadalupe Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=217
Butia capitata,Pindo Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=229
Callistemon citrinus,Lemon Bottlebrush,http://selectree.calpoly.edu/treedetail.lasso?rid=238
Callistemon viminalis,Weeping Bottlebrush,http://selectree.calpoly.edu/treedetail.lasso?rid=241
Calocedrus decurrens,Incense Cedar,http://selectree.calpoly.edu/treedetail.lasso?rid=243
Calodendrum capense,Cape Chestnut,http://selectree.calpoly.edu/treedetail.lasso?rid=244
Carpinus betulus,European Hornbeam,http://selectree.calpoly.edu/treedetail.lasso?rid=252
Carya illinoinensis,Pecan,http://selectree.calpoly.edu/treedetail.lasso?rid=256
Caryota gigas,Giant Fishtail Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=1490
Caryota maxima,Mountain Fishtail Palm,http://selectree.calpoly.edu/treedetail.lasso?rid=260
Cassia leptophylla,Gold Medallion Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=266
Casuarina cunninghamiana,Horsetail Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=275
Catalpa bignonioides,Common Catalpa,http://selectree.calpoly.edu/treedetail.lasso?rid=278
Catalpa speciosa,Northern Catalpa,http://selectree.calpoly.edu/treedetail.lasso?rid=279
Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,http://selectree.calpoly.edu/treedetail.lasso?rid=282
Cedrus atlantica,Atlas Cedar,http://selectree.calpoly.edu/treedetail.lasso?rid=287
Cedrus deodara,Deodar Cedar,http://selectree.calpoly.edu/treedetail.lasso?rid=292
Cedrus libani,Cedar Of Lebanon,http://selectree.calpoly.edu/treedetail.lasso?rid=294
Ceiba speciosa,Floss Silk Tree,http://selectree.calpoly.edu/treedetail.lasso?rid=351
Celtis australis,European Hackberry,http://selectree.calpoly.edu/treedetail.lasso?rid=295
Celtis laevigata,Sugarberry,http://selectree.calpoly.edu/treedetail.lasso?rid=296
